ind;t_process;parent;unit_price;rqtf;aih_cost;var_factor;lt_factor;cycle;minOrder;facility_emis;inventory_emis;trsp_emis;
0;0;-1;0;1;0,25;0,5;0,8;1;0;0;0;0;
1;9;0;1200;1;0,25;0,5;0,8;1;0;8000;800;1500;
2;4;1;140;1;0,25;0,5;0,8;1;0;4000;500;1500;
3;8;1;290;1;0,25;0,5;0,8;1;0;6000;600;1500;
4;5;1;120;3;0,25;0,5;0,8;1;0;3200;320;1500;
5;2;1;95;2;0,25;0,5;0,8;1;0;2600;260;1500;
6;8;2;90;3;0,25;0,5;0,8;1;0;2800;280;1500;
7;3;2;85;2;0,25;0,5;0,8;1;0;3100;310;1500;
8;6;2;80;1;0,25;0,5;0,8;1;0;1800;180;1500;
9;5;3;82;2;0,25;0,5;0,8;1;0;1450;145;1500;
10;9;3;78;3;0,25;0,5;0,8;1;0;1300;130;1500;
11;2;4;72;2;0,25;0,5;0,8;1;0;1350;135;1500;
12;1;4;68;3;0,25;0,5;0,8;1;0;1150;115;1500;
13;3;5;62;8;0,25;0,5;0,5;1;0;1200;120;1500;
14;1;5;66;6;0,25;0,5;0,5;1;0;1200;120;1500;
15;9;5;70;2;0,25;0,5;0,5;1;0;1200;120;1500;
16;9;6;64;9;0,25;0,5;0,5;1;0;2200;220;1500;
17;3;7;58;6;0,25;0,5;0,5;1;0;2100;210;1500;
18;7;8;55;2;0,25;0,5;0,5;1;0;2400;240;1500;
19;2;9;56;1;0,25;0,5;0,5;1;0;1300;130;1500;
20;6;10;52;4;0,25;0,5;0,5;1;0;1250;125;1500;
