ind;t_process;parent;unit_price;rqtf;aih_cost;var_factor;lt_factor;cycle;minOrder;facility_emis;inventory_emis;trsp_emis
0;0;-1;0;1;0,25;0,5;0,8;1;0;0;0;0
1;2;0;6000;1;0,25;0,5;0,8;1;0;12000;1200;1500
2;5;1;920;1;0,25;0,5;0,8;1;0;9600;960;1500
3;7;1;910;1;0,25;0,5;0,8;1;0;8900;890;1500
4;6;1;930;1;0,25;0,5;0,8;1;0;8300;830;1500
5;4;1;880;2;0,25;0,5;0,8;1;0;8200;820;1500
6;4;2;900;3;0,25;0,5;0,8;1;0;8100;810;1500
7;3;2;820;2;0,25;0,5;0,8;1;0;7900;790;1500
8;3;2;800;1;0,25;0,5;0,8;1;0;7300;730;1500
9;3;3;810;2;0,25;0,5;0,8;1;0;7200;720;1500
10;4;3;770;3;0,25;0,5;0,8;1;0;6500;650;1500
11;3;4;710;2;0,25;0,5;0,8;1;0;6450;645;1500
12;5;4;680;3;0,25;0,5;0,8;1;0;6400;640;1500
13;5;5;620;8;0,25;0,5;0,5;1;0;6300;630;1500
14;4;5;660;6;0,25;0,5;0,5;1;0;5900;590;1500
15;2;5;720;2;0,25;0,5;0,5;1;0;5890;589;1500
16;4;6;680;9;0,25;0,5;0,5;1;0;5720;572;1500
17;6;6;600;6;0,25;0,5;0,5;1;0;5580;558;1500
18;3;7;570;2;0,25;0,5;0,5;1;0;5500;550;1500
19;3;8;590;1;0,25;0,5;0,5;1;0;5380;538;1500
20;5;8;620;2;0,25;0,5;0,5;1;0;5160;516;1500
21;7;9;560;6;0,25;0,5;0,5;1;0;4960;496;1500
22;6;9;530;4;0,25;0,5;0,5;1;0;4630;463;1500
23;3;9;610;4;0,25;0,5;0,5;1;0;4250;425;1500
24;4;10;420;3;0,25;0,5;0,5;1;0;4110;411;1500
25;3;11;510;2;0,25;0,5;0,5;1;0;3820;382;1500
26;3;12;500;3;0,25;0,5;0,5;1;0;3500;350;1500
27;5;12;540;6;0,25;0,5;0,5;1;0;3390;339;1500
28;4;13;420;16;0,25;0,5;0,5;1;0;3200;320;1500
29;3;14;500;6;0,25;0,5;0,5;1;0;3080;308;1500
30;2;14;510;18;0,25;0,5;0,5;1;0;2820;282;1500
31;5;16;490;9;0,25;0,5;0,5;1;0;2640;264;1500
32;4;16;530;9;0,25;0,5;0,5;1;0;2450;245;1500
33;3;18;500;6;0,25;0,5;0,5;1;0;2310;231;1500
34;3;18;330;4;0,25;0,5;0,5;1;0;2210;221;1500
35;5;20;410;4;0,25;0,5;0,5;1;0;2060;206;1500
36;4;23;360;8;0,25;0,5;0,5;1;0;1900;190;1500
37;3;23;370;12;0,25;0,5;0,5;1;0;1900;190;1500
38;4;27;380;6;0,25;0,5;0,5;1;0;1810;181;1500
39;6;30;390;18;0,25;0,5;0,5;1;0;1660;166;1500
40;4;30;340;54;0,25;0,5;0,5;1;0;1620;162;1500
41;4;32;360;18;0,25;0,5;0,5;1;0;1480;148;1500
42;4;33;330;12;0,25;0,5;0,5;1;0;1370;137;1500
43;3;33;310;12;0,25;0,5;0,5;1;0;1350;135;1500
44;3;35;300;8;0,25;0,5;0,5;1;0;1300;130;1500
45;2;37;310;12;0,25;0,5;0,5;1;0;1200;120;1500
46;5;37;310;12;0,25;0,5;0,5;1;0;1170;117;1500
47;3;39;130;54;0,25;0,5;0,5;1;0;1120;112;1500
48;2;39;140;36;0,25;0,5;0,5;1;0;1020;102;1500
49;3;45;80;48;0,25;0,5;0,5;1;0;920;92;1500
50;5;47;50;108;0,25;0,5;0,5;1;0;890;89;1500
51;4;48;60;72;0,25;0,5;0,5;1;0;850;85;1500
52;3;49;70;96;0,25;0,5;0,5;1;0;800;80;1500
53;6;50;40;216;0,25;0,5;0,5;1;0;750;75;1500
54;2;51;55;144;0,25;0,5;0,5;1;0;720;72;1500
55;4;52;65;192;0,25;0,5;0,5;1;0;680;68;1500
56;5;53;35;432;0,25;0,5;0,5;1;0;650;65;1500
57;3;54;45;288;0,25;0,5;0,5;1;0;620;62;1500
58;6;55;50;384;0,25;0,5;0,5;1;0;590;59;1500
59;2;56;30;658;0,25;0,5;0,5;1;0;560;56;1500
60;4;57;25;576;0,25;0,5;0,5;1;0;530;53;1500
