ind;t_process;parent;unit_price;rqtf;aih_cost;var_factor;lt_factor;cycle;minOrder;facility_emis;inventory_emis;trsp_emis
0;0;-1;0;1;0,25;0,5;0,8;1;0;0;0;0
1;2;0;4000;1;0,25;0,5;0,8;1;0;9000;900;1500
2;4;1;950;1;0,25;0,5;0,8;1;0;8200;820;1500
3;3;1;930;1;0,25;0,5;0,8;1;0;8000;800;1500
4;5;1;910;1;0,25;0,5;0,8;1;0;7800;780;1500
5;6;1;890;1;0,25;0,5;0,8;1;0;7600;760;1500
6;4;2;850;1;0,25;0,5;0,8;1;0;7400;740;1500
7;3;2;830;1;0,25;0,5;0,8;1;0;7200;720;1500
8;5;2;810;1;0,25;0,5;0,8;1;0;7000;700;1500
9;6;2;790;1;0,25;0,5;0,8;1;0;6800;680;1500
10;4;3;770;1;0,25;0,5;0,8;1;0;6600;660;1500
11;3;3;750;1;0,25;0,5;0,8;1;0;6400;640;1500
12;5;3;730;1;0,25;0,5;0,8;1;0;6200;620;1500
13;6;3;710;1;0,25;0,5;0,8;1;0;6000;600;1500
14;4;4;690;1;0,25;0,5;0,8;1;0;5800;580;1500
15;3;4;670;1;0,25;0,5;0,8;1;0;5600;560;1500
16;5;4;650;1;0,25;0,5;0,8;1;0;5400;540;1500
17;6;4;630;1;0,25;0,5;0,8;1;0;5200;520;1500
18;4;5;610;1;0,25;0,5;0,8;1;0;5000;500;1500
19;3;5;590;1;0,25;0,5;0,8;1;0;4800;480;1500
20;5;5;570;1;0,25;0,5;0,8;1;0;4600;460;1500
21;6;5;550;1;0,25;0,5;0,8;1;0;4400;440;1500
22;4;6;530;1;0,25;0,5;0,8;1;0;4200;420;1500
23;3;6;510;1;0,25;0,5;0,8;1;0;4000;400;1500
24;5;6;490;1;0,25;0,5;0,8;1;0;3800;380;1500
25;6;6;470;1;0,25;0,5;0,8;1;0;3600;360;1500
26;4;7;450;1;0,25;0,5;0,8;1;0;3400;340;1500
27;3;7;430;1;0,25;0,5;0,8;1;0;3200;320;1500
28;5;7;410;1;0,25;0,5;0,8;1;0;3000;300;1500
29;6;7;390;1;0,25;0,5;0,8;1;0;2800;280;1500
30;4;8;370;1;0,25;0,5;0,8;1;0;2600;260;1500
31;3;8;350;1;0,25;0,5;0,8;1;0;2400;240;1500
32;5;8;330;1;0,25;0,5;0,8;1;0;2200;220;1500
33;6;8;310;1;0,25;0,5;0,8;1;0;2000;200;1500
34;4;9;290;1;0,25;0,5;0,8;1;0;1800;180;1500
35;3;9;270;1;0,25;0,5;0,8;1;0;1600;160;1500
36;5;9;250;1;0,25;0,5;0,8;1;0;1400;140;1500
37;6;9;230;1;0,25;0,5;0,8;1;0;1200;120;1500
38;4;10;210;1;0,25;0,5;0,8;1;0;1000;100;1500
39;3;10;190;1;0,25;0,5;0,8;1;0;800;80;1500
40;5;10;170;1;0,25;0,5;0,8;1;0;600;60;1500
41;6;10;150;1;0,25;0,5;0,8;1;0;400;40;1500
42;4;11;130;1;0,25;0,5;0,8;1;0;300;30;1500
43;3;11;110;1;0,25;0,5;0,8;1;0;200;20;1500
44;5;11;90;1;0,25;0,5;0,8;1;0;150;15;1500
45;6;11;70;1;0,25;0,5;0,8;1;0;100;10;1500
46;4;12;50;1;0,25;0,5;0,8;1;0;80;8;1500
47;3;12;30;1;0,25;0,5;0,8;1;0;50;5;1500
48;5;12;20;1;0,25;0,5;0,8;1;0;30;3;1500
49;6;12;15;1;0,25;0,5;0,8;1;0;20;2;1500
50;4;13;10;1;0,25;0,5;0,8;1;0;15;1,5;1500
51;3;13;8;1;0,25;0,5;0,8;1;0;12;1,2;1500
52;5;13;5;1;0,25;0,5;0,8;1;0;10;1;1500
53;6;13;3;1;0,25;0,5;0,8;1;0;8;0,8;1500
54;4;14;2;1;0,25;0,5;0,8;1;0;5;0,5;1500
55;3;14;1;1;0,25;0,5;0,8;1;0;3;0,3;1500
