ind;t_process;parent;unit_price;rqtf;aih_cost;var_factor;lt_factor;cycle;minOrder;facility_emis;inventory_emis;trsp_emis;
0;0;-1;0;0;0.25;0.5;0.8;1;0;0;0;0;
1;2;0;750;1;0.25;0.5;0.8;1;0;7500;750;1500;
2;4;1;180;1;0.25;0.5;0.8;1;0;5600;560;1500;
3;3;1;120;2;0.25;0.5;0.8;1;0;3900;390;1500;
4;5;2;35;6;0.25;0.5;0.8;1;0;3600;360;1500;
5;6;3;40;2;0.25;0.5;0.8;1;0;3200;320;1500;
6;4;2;27;4;0.25;0.5;0.8;1;0;3100;310;1500;
7;5;3;32;3;0.25;0.5;0.8;1;0;2900;290;1500;
8;6;4;20;5;0.25;0.5;0.8;1;0;2600;260;1500;
9;2;0;650;1;0.25;0.5;0.8;1;0;6500;650;1500;
