nb_nodes;nb_suppliers; #  ligne obligatoire : les noeud 0..nb_nodes et les suppliers 0..nbsuppliers-1 
70;10;
id_nodes;list_suppliers;  #  Attention 2 separateurs
36;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
37;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
38;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
39;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
40;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
41;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
42;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
43;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
44;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
45;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
46;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
47;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
48;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
49;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
50;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
51;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
52;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
53;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
54;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
55;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
56;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
57;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
58;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
59;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
60;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
61;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
62;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
63;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
64;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
65;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
66;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
67;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
68;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
69;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
70;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
