run_id,instance_id,bom_file,strategy,model_type,service_time_promised,suppliers_available,tax_rate,cap_value,objective_value,total_cost_with_tax,total_cost_without_tax,procurement_cost,inventory_holding_cost,carbon_cost,achieved_service_time,service_constraint_binding,total_emissions,baseline_emissions,emission_reduction_pct,WIP,WIP_reduction_pct,DIO,DIO_improvement_pct,ITR,buffer_count,avg_decoupled_lead_time,suppliers_used,solver_status,runtime_sec,mip_gap
CAP-bom_5-100,bom_5,bom_supemis_5.csv,EMISCAP,PLM,1,10,0.01,2932200,fct_obj.,,48640,,,,0,0,2932200,2932200,0,,,30,0,,3,5,4,OPTIMAL,0.03,
CAP-bom_5-95,bom_5,bom_supemis_5.csv,EMISCAP,PLM,1,10,0.01,2785590,fct_obj.,,48815,,,,0,0,2646200,2932200,9.7537685014665,,,29,3.3333333333333,,3,4.8333333333333,3,OPTIMAL,0.08,
CAP-bom_5-90,bom_5,bom_supemis_5.csv,EMISCAP,PLM,1,10,0.01,2638980,fct_obj.,,51555,,,,0,0,2253700,2932200,23.139622126731,,,27,10,,4,4.5,3,OPTIMAL,0.11,
CAP-bom_5-85,bom_5,bom_supemis_5.csv,EMISCAP,PLM,1,10,0.01,2492370,fct_obj.,,51555,,,,0,0,2253700,2932200,23.139622126731,,,27,10,,4,4.5,3,OPTIMAL,0.08,
CAP-bom_5-80,bom_5,bom_supemis_5.csv,EMISCAP,PLM,1,10,0.01,2345760,fct_obj.,,51555,,,,0,0,2253700,2932200,23.139622126731,,,27,10,,4,4.5,3,OPTIMAL,0.05,
CAP-bom_5-75,bom_5,bom_supemis_5.csv,EMISCAP,PLM,1,10,0.01,2199150,fct_obj.,,60260,,,,0,0,1503000,2932200,48.741559238797,,,23,23.333333333333,,5,3.8333333333333,3,OPTIMAL,0.2,
CAP-bom_5-70,bom_5,bom_supemis_5.csv,EMISCAP,PLM,1,10,0.01,2052539,fct_obj.,,60260,,,,0,0,1503000,2932200,48.741559238797,,,23,23.333333333333,,5,3.8333333333333,3,OPTIMAL,0.08,
CAP-bom_13-100,bom_13,bom_supemis_13.csv,EMISCAP,PLM,1,10,0.01,29495946,fct_obj.,,116448,,,,0,0,29495946,29495946,0,,,134,0,,7,9.5714285714286,10,OPTIMAL,0.09,
CAP-bom_13-95,bom_13,bom_supemis_13.csv,EMISCAP,PLM,1,10,0.01,28021148,fct_obj.,,118411,,,,0,0,27870521,29495946,5.5106725514076,,,127,5.2238805970149,,7,9.0714285714286,8,OPTIMAL,0.16,
CAP-bom_13-90,bom_13,bom_supemis_13.csv,EMISCAP,PLM,1,10,0.01,26546351,fct_obj.,,119556,,,,0,0,26147646,29495946,11.35172948852,,,127,5.2238805970149,,7,9.0714285714286,8,OPTIMAL,0.09,
CAP-bom_13-85,bom_13,bom_supemis_13.csv,EMISCAP,PLM,1,10,0.01,25071554,fct_obj.,,127100.5,,,,0,0,24993922,29495946,15.263195830369,,,120,10.44776119403,,9,8.5714285714286,8,OPTIMAL,0.36,
CAP-bom_13-80,bom_13,bom_supemis_13.csv,EMISCAP,PLM,1,10,0.01,23596756,fct_obj.,,127888,,,,0,0,23557372,29495946,20.133526146271,,,117,12.686567164179,,9,8.3571428571429,8,OPTIMAL,0.16,
CAP-bom_13-75,bom_13,bom_supemis_13.csv,EMISCAP,PLM,1,10,0.01,22121959,fct_obj.,,151636,,,,0,0,22077992,29495946,25.149062857655,,,102,23.880597014925,,10,7.2857142857143,7,OPTIMAL,0.33,
