run_id,instance_id,bom_file,strategy,model_type,service_time_promised,suppliers_available,tax_rate,cap_value,objective_value,total_cost_with_tax,total_cost_without_tax,procurement_cost,inventory_holding_cost,carbon_cost,achieved_service_time,service_constraint_binding,total_emissions,baseline_emissions,emission_reduction_pct,WIP,WIP_reduction_pct,DIO,DIO_improvement_pct,ITR,buffer_count,avg_decoupled_lead_time,suppliers_used,solver_status,runtime_sec,mip_gap
SVT-bom_5-EMISTAXE-SvT0,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,0,10,0.02,2500000,fct_obj.,90320,,,,,0,1,1503000,2932200,48.741559238797,,,23,23.333333333333,,5,3.8333333333333,3,OPTIMAL,0.06,
SVT-bom_5-EMISTAXE-SvT1,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,1,10,0.02,2500000,fct_obj.,90320,,,,,0,0,1503000,2932200,48.741559238797,,,23,23.333333333333,,5,3.8333333333333,3,OPTIMAL,0.05,
SVT-bom_5-EMISTAXE-SvT3,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,3,10,0.02,2500000,fct_obj.,79364,,,,,2,0,1515200,2932200,48.325489393629,,,25,16.666666666667,,4,4.1666666666667,3,OPTIMAL,0.13,
SVT-bom_5-EMISCAP-SvT0,bom_5,bom_supemis_5.csv,EMISCAP,PLM,0,10,0.01,2492370,fct_obj.,,51555,,,,0,1,2253700,2932200,23.139622126731,,,27,10,,4,4.5,3,OPTIMAL,0.06,
SVT-bom_5-EMISCAP-SvT1,bom_5,bom_supemis_5.csv,EMISCAP,PLM,1,10,0.01,2492370,fct_obj.,,51555,,,,0,0,2253700,2932200,23.139622126731,,,27,10,,4,4.5,3,OPTIMAL,0.06,
SVT-bom_5-EMISCAP-SvT3,bom_5,bom_supemis_5.csv,EMISCAP,PLM,3,10,0.01,2492370,fct_obj.,,40355,,,,2,0,2265900,2932200,22.723552281563,,,29,3.3333333333333,,3,4.8333333333333,3,OPTIMAL,0.03,
SVT-bom_13-EMISTAXE-SvT0,bom_13,bom_supemis_13.csv,EMISTAXE,PLM,0,10,0.02,2500000,fct_obj.,558698.34,,,,,0,1,11389417,29495946,61.386500368559,,,78,41.791044776119,,13,5.5714285714286,8,OPTIMAL,0.41,
SVT-bom_13-EMISTAXE-SvT1,bom_13,bom_supemis_13.csv,EMISTAXE,PLM,1,10,0.02,2500000,fct_obj.,558698.34,,,,,0,0,11389417,29495946,61.386500368559,,,78,41.791044776119,,13,5.5714285714286,8,OPTIMAL,0.45,
SVT-bom_13-EMISTAXE-SvT3,bom_13,bom_supemis_13.csv,EMISTAXE,PLM,3,10,0.02,2500000,fct_obj.,542942.34,,,,,2,0,11401617,29495946,61.345138752288,,,80,40.298507462687,,12,5.7142857142857,8,OPTIMAL,0.41,
SVT-bom_13-EMISCAP-SvT0,bom_13,bom_supemis_13.csv,EMISCAP,PLM,0,10,0.01,25071554,fct_obj.,,127100.5,,,,0,1,24993922,29495946,15.263195830369,,,120,10.44776119403,,9,8.5714285714286,8,OPTIMAL,0.22,
SVT-bom_13-EMISCAP-SvT1,bom_13,bom_supemis_13.csv,EMISCAP,PLM,1,10,0.01,25071554,fct_obj.,,127100.5,,,,0,0,24993922,29495946,15.263195830369,,,120,10.44776119403,,9,8.5714285714286,8,OPTIMAL,0.14,
SVT-bom_13-EMISCAP-SvT3,bom_13,bom_supemis_13.csv,EMISCAP,PLM,3,10,0.01,25071554,fct_obj.,,111100.5,,,,2,0,25006122,29495946,15.221834214098,,,122,8.955223880597,,8,8.7142857142857,8,OPTIMAL,0.19,
SVT-bom_26-EMISTAXE-SvT0,bom_26,bom_supemis_26.csv,EMISTAXE,PLM,0,10,0.02,2500000,fct_obj.,1578556,,,,,0,1,30520800,41574400,26.587515394089,,,328,23.720930232558,,1,12.148148148148,7,OPTIMAL,0.63,
