Cost;DIO;WIP;Emissions;Epsilon;Prefix
496798;74;1229432;9874792;74;MOBJ-bom_13_CDIO_0
314864;83;792192;13404117;83.777777777778;MOBJ-bom_13_CDIO_1
154744;93;358520;20656492;93.555555555556;MOBJ-bom_13_CDIO_2
145300;103;352352;22645972;103.33333333333;MOBJ-bom_13_CDIO_3
127843;113;294680;25088447;113.11111111111;MOBJ-bom_13_CDIO_4
118088;122;251160;28797356;122.88888888889;MOBJ-bom_13_CDIO_5
116668;132;250360;29400246;132.66666666667;MOBJ-bom_13_CDIO_6
116448;138;250360;29687946;142.44444444444;MOBJ-bom_13_CDIO_7
116448;134;250360;29495946;152.22222222222;MOBJ-bom_13_CDIO_8
116448;134;250360;29495946;162;MOBJ-bom_13_CDIO_9
