run_id,instance_id,bom_file,strategy,model_type,service_time_promised,suppliers_available,tax_rate,cap_value,objective_value,total_cost_with_tax,total_cost_without_tax,procurement_cost,inventory_holding_cost,carbon_cost,achieved_service_time,service_constraint_binding,total_emissions,baseline_emissions,emission_reduction_pct,WIP,WIP_reduction_pct,DIO,DIO_improvement_pct,ITR,buffer_count,avg_decoupled_lead_time,suppliers_used,solver_status,runtime_sec,mip_gap
TAX-bom_5-0.00,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,1,10,0,2500000,48670,48640,48640,,,0,0,0,2932200,2932200,0,,,30,0,,3,5,4,OPTIMAL,0.05,
TAX-bom_5-0.01,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,1,10,0.01,2500000,74119,74092,51555,,,22537,0,0,2253700,2932200,23.139622126731,,,27,10,,4,4.5,3,OPTIMAL,0.08,
TAX-bom_5-0.02,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,1,10,0.02,2500000,90343,90320,60260,,,30060,0,0,1503000,2932200,48.741559238797,,,23,23.333333333333,,5,3.8333333333333,3,OPTIMAL,0.05,
TAX-bom_5-0.03,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,1,10,0.03,2500000,105370,105350,60260,,,45090,0,0,1503000,2932200,48.741559238797,,,23,23.333333333333,,5,3.8333333333333,3,OPTIMAL,0.48,
TAX-bom_5-0.05,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,1,10,0.05,2500000,135430,135410,60260,,,75150,0,0,1503000,2932200,48.741559238797,,,23,23.333333333333,,5,3.8333333333333,3,OPTIMAL,0.08,
TAX-bom_5-0.10,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,1,10,0.1,2500000,210580,210560,60260,,,150300,0,0,1503000,2932200,48.741559238797,,,23,23.333333333333,,5,3.8333333333333,3,OPTIMAL,0.11,
TAX-bom_13-0.00,bom_13,bom_supemis_13.csv,EMISTAXE,PLM,1,10,0,2500000,116580,116448,116448,,,0,0,0,29495946,29495946,0,,,134,0,,7,9.5714285714286,8,OPTIMAL,0.28,
TAX-bom_13-0.01,bom_13,bom_supemis_13.csv,EMISTAXE,PLM,1,10,0.01,2500000,361060,360946.72,129208,,,231738.72,0,0,23173872,29495946,21.433704821673,,,109,18.65671641791,,9,7.7857142857143,8,OPTIMAL,0.41,
TAX-bom_13-0.02,bom_13,bom_supemis_13.csv,EMISTAXE,PLM,1,10,0.02,2500000,558780,558698.34,330910,,,227788.34,0,0,11389417,29495946,61.386500368559,,,78,41.791044776119,,13,5.5714285714286,8,OPTIMAL,0.59,
TAX-bom_13-0.03,bom_13,bom_supemis_13.csv,EMISTAXE,PLM,1,10,0.03,2500000,672670,672592.51,330910,,,341682.51,0,0,11389417,29495946,61.386500368559,,,78,41.791044776119,,13,5.5714285714286,8,OPTIMAL,0.22,
TAX-bom_13-0.05,bom_13,bom_supemis_13.csv,EMISTAXE,PLM,1,10,0.05,2500000,900460,900380.85,330910,,,569470.85,0,0,11389417,29495946,61.386500368559,,,78,41.791044776119,,13,5.5714285714286,8,OPTIMAL,0.23,
TAX-bom_13-0.10,bom_13,bom_supemis_13.csv,EMISTAXE,PLM,1,10,0.1,2500000,1469900,1469851.7,330910,,,1138941.7,0,0,11389417,29495946,61.386500368559,,,78,41.791044776119,,13,5.5714285714286,8,OPTIMAL,0.19,
TAX-bom_26-0.00,bom_26,bom_supemis_26.csv,EMISTAXE,PLM,1,10,0,2500000,867550,867120,867120,,,0,0,0,41574400,41574400,0,,,430,0,,1,15.925925925926,5,OPTIMAL,0.09,
TAX-bom_26-0.01,bom_26,bom_supemis_26.csv,EMISTAXE,PLM,1,10,0.01,2500000,1260600,1260242,896260,,,363982,0,0,36398200,41574400,12.450450277094,,,376,12.558139534884,,1,13.925925925926,8,OPTIMAL,0.31,
TAX-bom_26-0.02,bom_26,bom_supemis_26.csv,EMISTAXE,PLM,1,10,0.02,2500000,1578900,1578556,968140,,,610416,0,0,30520800,41574400,26.587515394089,,,328,23.720930232558,,1,12.148148148148,4,OPTIMAL,0.86,
TAX-bom_26-0.03,bom_26,bom_supemis_26.csv,EMISTAXE,PLM,1,10,0.03,2500000,1860300,1859973.5,1050140,,,809833.5,0,0,26994450,41574400,35.069537984914,,,291,32.325581395349,,2,10.777777777778,4,OPTIMAL,0.63,
TAX-bom_26-0.05,bom_26,bom_supemis_26.csv,EMISTAXE,PLM,1,10,0.05,2500000,2362500,2362255,1345920,,,1016335,0,0,20326700,41574400,51.10765278633,,,231,46.279069767442,,8,8.5555555555556,6,OPTIMAL,1,
TAX-bom_26-0.10,bom_26,bom_supemis_26.csv,EMISTAXE,PLM,1,10,0.1,2500000,3251000,3250790,1565720,,,1685070,0,0,16850700,41574400,59.468567195197,,,211,50.93023255814,,12,7.8148148148148,4,OPTIMAL,1.08,
TAX-bom_50-0.00,bom_50,bom_supemis_50.csv,EMISTAXE,PLM,1,10,0,2500000,1382200,1381460,1381460,,,0,0,0,194576659,194576659,0,,,706,0,,5,13.843137254902,5,OPTIMAL,0.3,
TAX-bom_50-0.01,bom_50,bom_supemis_50.csv,EMISTAXE,PLM,1,10,0.01,2500000,2941500,2940926.172,1731440,,,1209486.172,0,0,120948617.2,194576659,37.840120278764,,,527,25.354107648725,,6,10.333333333333,6,OPTIMAL,0.73,
TAX-bom_50-0.02,bom_50,bom_supemis_50.csv,EMISTAXE,PLM,1,10,0.02,2500000,4093300,4092840.756,2252340,,,1840500.756,0,0,92025037.8,194576659,52.704996440503,,,463,34.419263456091,,9,9.078431372549,5,OPTIMAL,1.61,
TAX-bom_50-0.03,bom_50,bom_supemis_50.csv,EMISTAXE,PLM,1,10,0.03,2500000,4988600,4988164.028,2397440,,,2590724.028,0,0,86357467.6,194576659,55.617766260443,,,429,39.235127478754,,10,8.4117647058824,3,OPTIMAL,1.64,
TAX-bom_50-0.05,bom_50,bom_supemis_50.csv,EMISTAXE,PLM,1,10,0.05,2500000,6619700,6619309.52,2782820,,,3836489.52,0,0,76729790.4,194576659,60.565778652824,,,369,47.733711048159,,13,7.2352941176471,4,OPTIMAL,1.63,
TAX-bom_50-0.10,bom_50,bom_supemis_50.csv,EMISTAXE,PLM,1,10,0.1,2500000,9857700,9857433.36,5346180,,,4511253.36,0,0,45112533.6,194576659,76.815033297493,,,276,60.906515580737,,30,5.4117647058824,3,OPTIMAL,2.08,
TAX-bom_ml4_30-0.00,bom_ml4_30,bom_supemis_ml4_30.csv,EMISTAXE,PLM,1,10,0,2500000,378730,378440,378440,,,0,0,0,13603260,13603260,0,,,290,0,,3,9.3548387096774,4,OPTIMAL,0.39,
TAX-bom_ml4_30-0.01,bom_ml4_30,bom_supemis_ml4_30.csv,EMISTAXE,PLM,1,10,0.01,2500000,511270,510996.6,382640,,,128356.6,0,0,12835660,13603260,5.6427650430853,,,274,5.5172413793103,,3,8.8387096774194,3,OPTIMAL,0.48,
TAX-bom_ml4_30-0.02,bom_ml4_30,bom_supemis_ml4_30.csv,EMISTAXE,PLM,1,10,0.02,2500000,639630,639353.2,382640,,,256713.2,0,0,12835660,13603260,5.6427650430853,,,274,5.5172413793103,,3,8.8387096774194,3,OPTIMAL,2.16,
TAX-bom_ml4_30-0.03,bom_ml4_30,bom_supemis_ml4_30.csv,EMISTAXE,PLM,1,10,0.03,2500000,750080,749855.8,469360,,,280495.8,0,0,9349860,13603260,31.267504995126,,,222,23.448275862069,,12,7.1612903225806,2,OPTIMAL,1.86,
