run_id,instance_id,bom_file,strategy,model_type,service_time_promised,suppliers_available,tax_rate,cap_value,cap_level,objective_value,total_cost_with_tax,total_cost_without_tax,procurement_cost,inventory_holding_cost,carbon_cost,achieved_service_time,service_constraint_binding,total_emissions,baseline_emissions,emission_reduction_pct,WIP,WIP_reduction_pct,DIO,DIO_improvement_pct,ITR,buffer_count,avg_decoupled_lead_time,suppliers_used,solver_status,runtime_sec,mip_gap,comparison_admissible,comparison_exclusion_reason
SCAL-002,bom_2,bom_supemis_2.csv,UNKNOWN,PLM,1,10,0,5844800,none,35520,35520,35520,,,0,1,1,112400,,,64800,,4,,0.54814814814815,1,2,1,OPTIMAL,1,0,1,
SCAL-003,bom_3,bom_supemis_3.csv,UNKNOWN,PLM,1,10,0,15056000,none,23600,23600,23600,,,0,1,1,237400,,,53000,,8,,0.44528301886792,2,2.6666666666667,1,OPTIMAL,1,0,1,
SCAL-004,bom_4,bom_supemis_4.csv,UNKNOWN,PLM,1,10,0,34131200,none,40920,40920,40920,,,0,1,1,461840,,,86400,,12,,0.47361111111111,3,3,2,OPTIMAL,1,0,1,
SCAL-005,bom_5,bom_supemis_5.csv,UNKNOWN,PLM,1,10,0,100000000,none,48640,48640,48640,,,0,1,1,2932200,,,105700,,31,,0.46017029328288,3,5.1666666666667,4,OPTIMAL,1,0,1,
SCAL-006,bom_6,bom_supemis_6.csv,UNKNOWN,PLM,1,10,0,100000000,none,42620,42620,42620,,,0,1,1,2681960,,,95000,,29,,0.44863157894737,4,4.8333333333333,3,OPTIMAL,1,0,1,
SCAL-007,bom_7,bom_supemis_7.csv,UNKNOWN,PLM,1,10,0,100000000,none,46120,46120,46120,,,0,1,1,3853590,,,99080,,35,,0.46548243843359,4,5,4,OPTIMAL,1,0,1,
SCAL-008,bom_8,bom_supemis_8.csv,UNKNOWN,PLM,1,10,0,100000000,none,53084,53084,53084,,,0,1,1,5587240,,,112400,,49,,0.47227758007117,3,6.125,4,OPTIMAL,1,0,1,
SCAL-010,bom_10,bom_supemis_10.csv,UNKNOWN,PLM,1,10,0,100000000,none,63273,63273,63273,,,0,1,1,9949345,,,145000,,74,,0.43636551724138,4,7.4,4,OPTIMAL,1,0,1,
SCAL-013,bom_13,bom_supemis_13.csv,UNKNOWN,PLM,1,10,0,100000000,none,116450,116450,116448,,,2,1,1,29495946,,,250360,,135,,0.46512222399744,7,9.6428571428571,8,OPTIMAL,1,0,1,
SCAL-015,bom_15,bom_supemis_15.csv,UNKNOWN,PLM,1,10,0,100000000,none,127450,127450,127452,,,-2,1,1,33149700,,,284500,,158,,0.44798594024605,8,9.875,8,OPTIMAL,1,0,1,
SCAL-020,bom_20,bom_supemis_20.csv,UNKNOWN,PLM,1,10,0,100000000,none,239000,239000,239002,,,-2,1,1,25445265,,,560040,,249,,0.42675880294265,6,11.857142857143,7,OPTIMAL,1,0,1,
SCAL-025,bom_25,bom_supemis_25.csv,UNKNOWN,PLM,1,10,0,100000000,none,273090,273090,273094,,,-4,1,1,31154440,,,633096,,320,,0.43136270012763,6,12.307692307692,3,OPTIMAL,1,0,1,
SCAL-026,bom_26,bom_supemis_26.csv,UNKNOWN,PLM,1,10,0,100000000,none,867120,867120,867120,,,0,1,1,41574400,,,1750000,,431,,0.49549714285714,1,15.962962962963,3,OPTIMAL,1,0,1,
SCAL-030,bom_30,bom_supemis_30.csv,UNKNOWN,PLM,1,10,0,100000000,none,875780,875780,875780,,,0,1,1,49597500,,,1750000,,479,,0.50044571428571,1,15.451612903226,3,OPTIMAL,1,0,1,
SCAL-035,bom_35,bom_supemis_35.csv,UNKNOWN,PLM,1,10,0,100000000,none,358470,358470,358472,,,-2,1,1,48310880,,,858520,,480,,0.41754647532964,9,13.333333333333,3,OPTIMAL,1,0,1,
SCAL-040,bom_40,bom_supemis_40.csv,UNKNOWN,PLM,1,10,0,100000000,none,1200800,1200800,1200760,,,40,1,1,101719560,,,2114200,,532,,0.56795005202914,5,12.975609756098,3,OPTIMAL,1,0,1,
SCAL-050,bom_50,bom_supemis_50.csv,UNKNOWN,PLM,1,10,0,100000000,none,1381500,1381500,1381460,,,40,1,1,194576659,,,2391000,,707,,0.57777498954412,5,13.862745098039,5,OPTIMAL,1,0,1,
SCAL-060,bom_60,bom_supemis_60.csv,UNKNOWN,PLM,1,10,0,100000000,none,2418000,2418000,2417975,,,25,1,1,1787782270,,,3529200,,1139,,0.68513402470815,5,18.672131147541,10,OPTIMAL,1,0,1,
SCAL-080,bom_80,bom_supemis_80.csv,UNKNOWN,PLM,1,10,0,100000000,none,3375900,3375900,3375920,,,-20,1,1,0,,,3276000,,1454,,1.0305006105006,5,17.950617283951,8,OPTIMAL,1,0,1,
SCAL-090,bom_90,bom_supemis_90.csv,UNKNOWN,PLM,1,10,0,100000000,none,2436600,2436600,2436599,,,1,1,1,0,,,5533840,,1798,,0.44030889942608,14,19.758241758242,10,OPTIMAL,1,0,1,
SCAL-100,bom_100,bom_supemis_100.csv,UNKNOWN,PLM,1,10,0,100000000,none,2795600,2795600,2795569,,,31,1,1,0,,,6418200,,2251,,0.43556900688667,18,22.287128712871,10,OPTIMAL,1,0,1,
SCAL-123,bom_123,bom_supemis_123.csv,UNKNOWN,PLM,1,10,0,100000000,none,2562600,2562600,2562560,,,40,1,1,646956126.6,,,4492400,,1906,,0.57042115572968,7,15.370967741935,3,OPTIMAL,1,0,1,
SCAL-150,bom_150,bom_supemis_150.csv,UNKNOWN,PLM,1,10,0,100000000,none,3714100,3714100,3714089,,,11,1,1,0,,,9459200,,3126,,0.39264303535183,57,20.701986754967,10,OPTIMAL,1,0,1,
