run_id,instance_id,bom_file,strategy,model_type,service_time_promised,suppliers_available,tax_rate,cap_value,cap_level,objective_value,total_cost_with_tax,total_cost_without_tax,procurement_cost,inventory_holding_cost,carbon_cost,achieved_service_time,service_constraint_binding,total_emissions,baseline_emissions,emission_reduction_pct,WIP,WIP_reduction_pct,DIO,DIO_improvement_pct,ITR,buffer_count,avg_decoupled_lead_time,suppliers_used,solver_status,runtime_sec,mip_gap,comparison_admissible,comparison_exclusion_reason
HYB-bom_5-tax_0_cap_none,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,0,100000000,none,48670,48640,48640,,,0,0,0,2932200,2932200,0,,,30,3.2258064516129,,3,5,4,OPTIMAL,0.17,0,1,
HYB-bom_5-tax_0_cap_100,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,0,2932200,100%,48670,48640,48640,,,0,0,0,2932200,2932200,0,,,30,3.2258064516129,,3,5,4,OPTIMAL,0.06,0,1,
HYB-bom_5-tax_0_cap_95,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,0,2785590,95%,48844,48815,48815,,,0,0,0,2646200,2932200,9.7537685014665,,,29,6.4516129032258,,3,4.8333333333333,3,OPTIMAL,0.05,0,1,
HYB-bom_5-tax_0_cap_90,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,0,2638980,90%,51582,51555,51555,,,0,0,0,2253700,2932200,23.139622126731,,,27,12.903225806452,,4,4.5,3,OPTIMAL,0.06,0,1,
HYB-bom_5-tax_0_cap_85,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,0,2492370,85%,51582,51555,51555,,,0,0,0,2253700,2932200,23.139622126731,,,27,12.903225806452,,4,4.5,3,OPTIMAL,0.05,0,1,
HYB-bom_5-tax_0_cap_80,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,0,2345760,80%,51582,51555,51555,,,0,0,0,2253700,2932200,23.139622126731,,,27,12.903225806452,,4,4.5,3,OPTIMAL,0.08,0,1,
HYB-bom_5-tax_0_cap_75,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,0,2199150,75%,60283,60260,60260,,,0,0,0,1503000,2932200,48.741559238797,,,23,25.806451612903,,5,3.8333333333333,3,OPTIMAL,0.08,0,1,
HYB-bom_5-tax_0_cap_70,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,0,2052540,70%,60283,60260,60260,,,0,0,0,1503000,2932200,48.741559238797,,,23,25.806451612903,,5,3.8333333333333,3,OPTIMAL,0.08,0,1,
HYB-bom_5-tax_15_cap_none,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,15,100000000,none,48714,48683.983,48640,,,43.983,0,0,2932200,2932200,0,,,30,3.2258064516129,,3,5,4,OPTIMAL,0.05,0,1,
HYB-bom_5-tax_15_cap_100,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,15,2932200,100%,48714,48683.983,48640,,,43.983,0,0,2932200,2932200,0,,,30,3.2258064516129,,3,5,4,OPTIMAL,0.03,0,1,
HYB-bom_5-tax_15_cap_95,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,15,2785590,95%,48884,48854.693,48815,,,39.693,0,0,2646200,2932200,9.7537685014665,,,29,6.4516129032258,,3,4.8333333333333,3,OPTIMAL,0.05,0,1,
HYB-bom_5-tax_15_cap_90,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,15,2638980,90%,51616,51588.8055,51555,,,33.8055,0,0,2253700,2932200,23.139622126731,,,27,12.903225806452,,4,4.5,3,OPTIMAL,0.06,0,1,
HYB-bom_5-tax_15_cap_85,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,15,2492370,85%,51616,51588.8055,51555,,,33.8055,0,0,2253700,2932200,23.139622126731,,,27,12.903225806452,,4,4.5,3,OPTIMAL,0.03,0,1,
HYB-bom_5-tax_15_cap_80,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,15,2345760,80%,51616,51588.8055,51555,,,33.8055,0,0,2253700,2932200,23.139622126731,,,27,12.903225806452,,4,4.5,3,OPTIMAL,0.03,0,1,
HYB-bom_5-tax_15_cap_75,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,15,2199150,75%,60306,60282.545,60260,,,22.545,0,0,1503000,2932200,48.741559238797,,,23,25.806451612903,,5,3.8333333333333,3,OPTIMAL,0.06,0,1,
HYB-bom_5-tax_15_cap_70,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,15,2052540,70%,60306,60282.545,60260,,,22.545,0,0,1503000,2932200,48.741559238797,,,23,25.806451612903,,5,3.8333333333333,3,OPTIMAL,0.06,0,1,
HYB-bom_5-tax_50_cap_none,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,50,100000000,none,48817,48786.61,48640,,,146.61,0,0,2932200,2932200,0,,,30,3.2258064516129,,3,5,4,OPTIMAL,0.03,0,1,
HYB-bom_5-tax_50_cap_100,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,50,2932200,100%,48817,48786.61,48640,,,146.61,0,0,2932200,2932200,0,,,30,3.2258064516129,,3,5,4,OPTIMAL,0.03,0,1,
HYB-bom_5-tax_50_cap_95,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,50,2785590,95%,48976,48947.31,48815,,,132.31,0,0,2646200,2932200,9.7537685014665,,,29,6.4516129032258,,3,4.8333333333333,3,OPTIMAL,0.05,0,1,
HYB-bom_5-tax_50_cap_90,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,50,2638980,90%,51695,51667.685,51555,,,112.685,0,0,2253700,2932200,23.139622126731,,,27,12.903225806452,,4,4.5,3,OPTIMAL,0.05,0,1,
HYB-bom_5-tax_50_cap_85,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,50,2492370,85%,51695,51667.685,51555,,,112.685,0,0,2253700,2932200,23.139622126731,,,27,12.903225806452,,4,4.5,3,OPTIMAL,0.03,0,1,
HYB-bom_5-tax_50_cap_80,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,50,2345760,80%,51695,51667.685,51555,,,112.685,0,0,2253700,2932200,23.139622126731,,,27,12.903225806452,,4,4.5,3,OPTIMAL,0.05,0,1,
HYB-bom_5-tax_50_cap_75,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,50,2199150,75%,60358,60335.15,60260,,,75.15,0,0,1503000,2932200,48.741559238797,,,23,25.806451612903,,5,3.8333333333333,3,OPTIMAL,0.2,0,1,
HYB-bom_5-tax_50_cap_70,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,50,2052540,70%,60358,60335.15,60260,,,75.15,0,0,1503000,2932200,48.741559238797,,,23,25.806451612903,,5,3.8333333333333,3,OPTIMAL,0.06,0,1,
HYB-bom_5-tax_75_cap_none,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,75,100000000,none,48890,48859.915,48640,,,219.915,0,0,2932200,2932200,0,,,30,3.2258064516129,,3,5,4,OPTIMAL,0.05,0,1,
HYB-bom_5-tax_75_cap_100,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,75,2932200,100%,48890,48859.915,48640,,,219.915,0,0,2932200,2932200,0,,,30,3.2258064516129,,3,5,4,OPTIMAL,0.05,0,1,
HYB-bom_5-tax_75_cap_95,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,75,2785590,95%,49042,49013.465,48815,,,198.465,0,0,2646200,2932200,9.7537685014665,,,29,6.4516129032258,,3,4.8333333333333,3,OPTIMAL,0.03,0,1,
HYB-bom_5-tax_75_cap_90,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,75,2638980,90%,51751,51724.0275,51555,,,169.0275,0,0,2253700,2932200,23.139622126731,,,27,12.903225806452,,4,4.5,3,OPTIMAL,0.03,0,1,
HYB-bom_5-tax_75_cap_85,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,75,2492370,85%,51751,51724.0275,51555,,,169.0275,0,0,2253700,2932200,23.139622126731,,,27,12.903225806452,,4,4.5,3,OPTIMAL,0.05,0,1,
HYB-bom_5-tax_75_cap_80,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,75,2345760,80%,51751,51724.0275,51555,,,169.0275,0,0,2253700,2932200,23.139622126731,,,27,12.903225806452,,4,4.5,3,OPTIMAL,0.06,0,1,
HYB-bom_5-tax_75_cap_75,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,75,2199150,75%,60396,60372.725,60260,,,112.725,0,0,1503000,2932200,48.741559238797,,,23,25.806451612903,,5,3.8333333333333,3,OPTIMAL,0.08,0,1,
HYB-bom_5-tax_75_cap_70,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,75,2052540,70%,60396,60372.725,60260,,,112.725,0,0,1503000,2932200,48.741559238797,,,23,25.806451612903,,5,3.8333333333333,3,OPTIMAL,0.13,0,1,
HYB-bom_5-tax_100_cap_none,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,100,100000000,none,48963,48933.22,48640,,,293.22,0,0,2932200,2932200,0,,,30,3.2258064516129,,3,5,4,OPTIMAL,0.03,0,1,
HYB-bom_5-tax_100_cap_100,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,100,2932200,100%,48963,48933.22,48640,,,293.22,0,0,2932200,2932200,0,,,30,3.2258064516129,,3,5,4,OPTIMAL,0.05,0,1,
HYB-bom_5-tax_100_cap_95,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,100,2785590,95%,49109,49079.62,48815,,,264.62,0,0,2646200,2932200,9.7537685014665,,,29,6.4516129032258,,3,4.8333333333333,3,OPTIMAL,0.05,0,1,
HYB-bom_5-tax_100_cap_90,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,100,2638980,90%,51807,51780.37,51555,,,225.37,0,0,2253700,2932200,23.139622126731,,,27,12.903225806452,,4,4.5,3,OPTIMAL,0.03,0,1,
HYB-bom_5-tax_100_cap_85,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,100,2492370,85%,51807,51780.37,51555,,,225.37,0,0,2253700,2932200,23.139622126731,,,27,12.903225806452,,4,4.5,3,OPTIMAL,0.05,0,1,
HYB-bom_5-tax_100_cap_80,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,100,2345760,80%,51807,51780.37,51555,,,225.37,0,0,2253700,2932200,23.139622126731,,,27,12.903225806452,,4,4.5,3,OPTIMAL,0.08,0,1,
HYB-bom_5-tax_100_cap_75,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,100,2199150,75%,60433,60410.3,60260,,,150.3,0,0,1503000,2932200,48.741559238797,,,23,25.806451612903,,5,3.8333333333333,3,OPTIMAL,0.09,0,1,
HYB-bom_5-tax_100_cap_70,bom_5,bom_supemis_5.csv,EMISHYBRID,PLM,1,10,100,2052540,70%,60433,60410.3,60260,,,150.3,0,0,1503000,2932200,48.741559238797,,,23,25.806451612903,,5,3.8333333333333,3,OPTIMAL,0.14,0,1,
HYB-bom_13-tax_0_cap_none,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,0,100000000,none,116580,116448,116448,,,0,0,0,29495946,29495946,0,,,134,0.74074074074074,,7,9.5714285714286,8,OPTIMAL,0.06,0,1,
HYB-bom_13-tax_0_cap_100,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,0,29495946,100%,116580,116448,116448,,,0,0,0,29495946,29495946,0,,,134,0.74074074074074,,7,9.5714285714286,8,OPTIMAL,0.08,0,1,
HYB-bom_13-tax_0_cap_95,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,0,28021148.7,95%,118540,118411,118411,,,0,0,0,27870521,29495946,5.5106725514076,,,127,5.9259259259259,,7,9.0714285714286,8,OPTIMAL,0.19,0,1,
HYB-bom_13-tax_0_cap_90,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,0,26546351.4,90%,119680,119556,119556,,,0,0,0,26147646,29495946,11.35172948852,,,127,5.9259259259259,,7,9.0714285714286,8,OPTIMAL,0.13,0,1,
HYB-bom_13-tax_0_cap_85,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,0,25071554.1,85%,127220,127100.5,127100.5,,,0,0,0,24993922,29495946,15.263195830369,,,120,11.111111111111,,9,8.5714285714286,8,OPTIMAL,0.72,0,1,
HYB-bom_13-tax_0_cap_80,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,0,23596756.8,80%,128010,127888,127888,,,0,0,0,23557372,29495946,20.133526146271,,,117,13.333333333333,,9,8.3571428571429,8,OPTIMAL,0.5,0,1,
HYB-bom_13-tax_0_cap_75,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,0,22121959.5,75%,151740,151636,151636,,,0,0,0,22077992,29495946,25.149062857655,,,102,24.444444444444,,10,7.2857142857143,7,OPTIMAL,0.47,0,1,
HYB-bom_13-tax_0_cap_70,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,0,20647162.2,70%,170610,170516,170516,,,0,0,0,19963682,29495946,32.317200472228,,,90,33.333333333333,,10,6.4285714285714,7,OPTIMAL,0.59,0,1,
HYB-bom_13-tax_15_cap_none,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,15,100000000,none,117020,116890.43919,116448,,,442.43919,0,0,29495946,29495946,0,,,134,0.74074074074074,,7,9.5714285714286,8,OPTIMAL,0.13,0,1,
HYB-bom_13-tax_15_cap_100,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,15,29495946,100%,117020,116890.43919,116448,,,442.43919,0,0,29495946,29495946,0,,,134,0.74074074074074,,7,9.5714285714286,8,OPTIMAL,0.05,0,1,
HYB-bom_13-tax_15_cap_95,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,15,28021148.7,95%,118960,118829.057815,118411,,,418.057815,0,0,27870521,29495946,5.5106725514076,,,127,5.9259259259259,,7,9.0714285714286,8,OPTIMAL,0.08,0,1,
HYB-bom_13-tax_15_cap_90,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,15,26546351.4,90%,120080,119948.21469,119556,,,392.21469,0,0,26147646,29495946,11.35172948852,,,127,5.9259259259259,,7,9.0714285714286,8,OPTIMAL,0.27,0,1,
HYB-bom_13-tax_15_cap_85,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,15,25071554.1,85%,127600,127475.40883,127100.5,,,374.90883,0,0,24993922,29495946,15.263195830369,,,120,11.111111111111,,9,8.5714285714286,8,OPTIMAL,0.25,0,1,
HYB-bom_13-tax_15_cap_80,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,15,23596756.8,80%,128360,128241.36058,127888,,,353.36058,0,0,23557372,29495946,20.133526146271,,,117,13.333333333333,,9,8.3571428571429,8,OPTIMAL,0.14,0,1,
HYB-bom_13-tax_15_cap_75,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,15,22121959.5,75%,152070,151967.16988,151636,,,331.16988,0,0,22077992,29495946,25.149062857655,,,102,24.444444444444,,10,7.2857142857143,7,OPTIMAL,0.23,0,1,
HYB-bom_13-tax_15_cap_70,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,15,20647162.2,70%,170910,170815.45523,170516,,,299.45523,0,0,19963682,29495946,32.317200472228,,,90,33.333333333333,,10,6.4285714285714,7,OPTIMAL,0.66,0,1,
HYB-bom_13-tax_50_cap_none,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,50,100000000,none,118060,117922.7973,116448,,,1474.7973,0,0,29495946,29495946,0,,,134,0.74074074074074,,7,9.5714285714286,8,OPTIMAL,0.09,0,1,
HYB-bom_13-tax_50_cap_100,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,50,29495946,100%,118060,117922.7973,116448,,,1474.7973,0,0,29495946,29495946,0,,,134,0.74074074074074,,7,9.5714285714286,8,OPTIMAL,0.06,0,1,
HYB-bom_13-tax_50_cap_95,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,50,28021148.7,95%,119930,119804.52605,118411,,,1393.52605,0,0,27870521,29495946,5.5106725514076,,,127,5.9259259259259,,7,9.0714285714286,8,OPTIMAL,0.08,0,1,
HYB-bom_13-tax_50_cap_90,bom_13,bom_supemis_13.csv,EMISHYBRID,PLM,1,10,50,26546351.4,90%,120990,120863.3823,119556,,,1307.3823,0,0,26147646,29495946,11.35172948852,,,127,5.9259259259259,,7,9.0714285714286,8,OPTIMAL,0.13,0,1,
