run_id,instance_id,bom_file,strategy,model_type,service_time_promised,suppliers_available,tax_rate,cap_value,cap_level,objective_value,total_cost_with_tax,total_cost_without_tax,procurement_cost,inventory_holding_cost,carbon_cost,achieved_service_time,service_constraint_binding,total_emissions,baseline_emissions,emission_reduction_pct,WIP,WIP_reduction_pct,DIO,DIO_improvement_pct,ITR,buffer_count,avg_decoupled_lead_time,suppliers_used,solver_status,runtime_sec,mip_gap,comparison_admissible,comparison_exclusion_reason
CAP-bom_5-100,bom_5,bom_supemis_5.csv,EMISCAP,PLM,1,10,0,2932200,100%,48670,48640,48640,,,0,0,0,2932200,2932200,0,,,30,3.2258064516129,,3,5,4,OPTIMAL,0.03,0,1,
CAP-bom_5-95,bom_5,bom_supemis_5.csv,EMISCAP,PLM,1,10,0,2785590,95%,48844,48815,48815,,,0,0,0,2646200,2932200,9.7537685014665,,,29,6.4516129032258,,3,4.8333333333333,3,OPTIMAL,0.05,0,1,
CAP-bom_5-90,bom_5,bom_supemis_5.csv,EMISCAP,PLM,1,10,0,2638980,90%,51582,51555,51555,,,0,0,0,2253700,2932200,23.139622126731,,,27,12.903225806452,,4,4.5,3,OPTIMAL,0.03,0,1,
CAP-bom_5-85,bom_5,bom_supemis_5.csv,EMISCAP,PLM,1,10,0,2492370,85%,51582,51555,51555,,,0,0,0,2253700,2932200,23.139622126731,,,27,12.903225806452,,4,4.5,3,OPTIMAL,0.03,0,1,
CAP-bom_5-80,bom_5,bom_supemis_5.csv,EMISCAP,PLM,1,10,0,2345760,80%,51582,51555,51555,,,0,0,0,2253700,2932200,23.139622126731,,,27,12.903225806452,,4,4.5,3,OPTIMAL,0.05,0,1,
CAP-bom_5-75,bom_5,bom_supemis_5.csv,EMISCAP,PLM,1,10,0,2199150,75%,60283,60260,60260,,,0,0,0,1503000,2932200,48.741559238797,,,23,25.806451612903,,5,3.8333333333333,3,OPTIMAL,0.06,0,1,
CAP-bom_5-70,bom_5,bom_supemis_5.csv,EMISCAP,PLM,1,10,0,2052539,70%,60283,60260,60260,,,0,0,0,1503000,2932200,48.741559238797,,,23,25.806451612903,,5,3.8333333333333,3,OPTIMAL,0.08,0,1,
CAP-bom_13-100,bom_13,bom_supemis_13.csv,EMISCAP,PLM,1,10,0,29495946,100%,116580,116450,116448,,,2,0,0,29495946,29495946,0,,,134,0.74074074074074,,7,9.5714285714286,8,OPTIMAL,0.06,0,1,
CAP-bom_13-95,bom_13,bom_supemis_13.csv,EMISCAP,PLM,1,10,0,28021148,95%,118540,118410,118411,,,-1,0,0,27870521,29495946,5.5106725514076,,,127,5.9259259259259,,7,9.0714285714286,8,OPTIMAL,0.13,0,1,
CAP-bom_13-90,bom_13,bom_supemis_13.csv,EMISCAP,PLM,1,10,0,26546351,90%,119680,119560,119556,,,4,0,0,26147646,29495946,11.35172948852,,,127,5.9259259259259,,7,9.0714285714286,8,OPTIMAL,0.13,0,1,
CAP-bom_13-85,bom_13,bom_supemis_13.csv,EMISCAP,PLM,1,10,0,25071554,85%,127220,127100,127100.5,,,-0.5,0,0,24993922,29495946,15.263195830369,,,120,11.111111111111,,9,8.5714285714286,8,OPTIMAL,0.36,0,1,
CAP-bom_13-80,bom_13,bom_supemis_13.csv,EMISCAP,PLM,1,10,0,23596756,80%,128010,127890,127888,,,2,0,0,23557372,29495946,20.133526146271,,,117,13.333333333333,,9,8.3571428571429,8,OPTIMAL,0.39,0,1,
CAP-bom_13-75,bom_13,bom_supemis_13.csv,EMISCAP,PLM,1,10,0,22121959,75%,151740,151640,151636,,,4,0,0,22077992,29495946,25.149062857655,,,102,24.444444444444,,10,7.2857142857143,7,OPTIMAL,0.25,0,1,
CAP-bom_13-70,bom_13,bom_supemis_13.csv,EMISCAP,PLM,1,10,0,20647162,70%,170610,170520,170516,,,4,0,0,19963682,29495946,32.317200472228,,,90,33.333333333333,,10,6.4285714285714,7,OPTIMAL,0.31,0,1,
CAP-bom_26-100,bom_26,bom_supemis_26.csv,EMISCAP,PLM,1,10,0,41574400,100%,867550,867120,867120,,,0,0,0,41574400,41574400,0,,,430,0.23201856148492,,1,15.925925925926,3,OPTIMAL,0.08,0,1,
CAP-bom_26-95,bom_26,bom_supemis_26.csv,EMISCAP,PLM,1,10,0,39495680,95%,874560,874160,874160,,,0,0,0,39200500,41574400,5.7100042333744,,,402,6.7285382830626,,1,14.888888888889,3,OPTIMAL,0.11,0,1,
CAP-bom_26-90,bom_26,bom_supemis_26.csv,EMISCAP,PLM,1,10,0,37416960,90%,888540,888160,888160,,,0,0,0,37236100,41574400,10.435027324507,,,384,10.904872389791,,1,14.222222222222,3,OPTIMAL,0.19,0,1,
CAP-bom_26-85,bom_26,bom_supemis_26.csv,EMISCAP,PLM,1,10,0,35338240,85%,909550,909180,909180,,,0,0,0,35289400,41574400,15.117476139163,,,368,14.61716937355,,1,13.62962962963,3,OPTIMAL,0.31,0,1,
CAP-bom_26-80,bom_26,bom_supemis_26.csv,EMISCAP,PLM,1,10,0,33259520,80%,932160,931800,931800,,,0,0,0,33015100,41574400,20.587909867611,,,360,16.473317865429,,1,13.333333333333,3,OPTIMAL,0.31,0,1,
CAP-bom_26-75,bom_26,bom_supemis_26.csv,EMISCAP,PLM,1,10,0,31180800,75%,957480,957140,957140,,,0,0,0,31144400,41574400,25.08755387931,,,336,22.041763341067,,1,12.444444444444,2,OPTIMAL,0.39,0,1,
CAP-bom_26-70,bom_26,bom_supemis_26.csv,EMISCAP,PLM,1,10,0,29102080,70%,1008500,1008200,1008240,,,-40,0,0,29010200,41574400,30.221001385468,,,309,28.30626450116,,1,11.444444444444,2,OPTIMAL,1.06,0,1,
CAP-bom_50-100,bom_50,bom_supemis_50.csv,EMISCAP,PLM,1,10,0,194576659,100%,1382200,1381500,1381460,,,40,0,0,194576659,194576659,0,,,706,0.14144271570014,,5,13.843137254902,5,OPTIMAL,0.53,0,1,
CAP-bom_50-95,bom_50,bom_supemis_50.csv,EMISCAP,PLM,1,10,0,184847826,95%,1403600,1402900,1402860,,,40,0,0,184765903.8,194576659,5.0421028146033,,,690,2.4045261669024,,5,13.529411764706,4,OPTIMAL,0.53,0,1,
CAP-bom_50-90,bom_50,bom_supemis_50.csv,EMISCAP,PLM,1,10,0,175118993,90%,1437000,1436300,1436340,,,-40,0,0,174980592.6,194576659,10.071129035061,,,632,10.608203677511,,5,12.392156862745,4,OPTIMAL,0.48,0,1,
CAP-bom_50-85,bom_50,bom_supemis_50.csv,EMISCAP,PLM,1,10,0,165390160,85%,1498400,1497800,1497760,,,40,0,0,165252592.6,194576659,15.070700951855,,,606,14.285714285714,,5,11.882352941176,3,OPTIMAL,1.03,0,1,
CAP-bom_50-80,bom_50,bom_supemis_50.csv,EMISCAP,PLM,1,10,0,155661327,80%,1566800,1566100,1566140,,,-40,0,0,155569821.2,194576659,20.047028251215,,,652,7.7793493635078,,6,12.78431372549,4,OPTIMAL,0.56,0,1,
CAP-bom_50-75,bom_50,bom_supemis_50.csv,EMISCAP,PLM,1,10,0,145932494,75%,1602400,1601800,1601800,,,0,0,0,145879910,194576659,25.027024952669,,,600,15.134370579915,,6,11.764705882353,4,OPTIMAL,0.55,0,1,
CAP-bom_50-70,bom_50,bom_supemis_50.csv,EMISCAP,PLM,1,10,0,136203661,70%,1637600,1637000,1636980,,,20,0,0,136143294,194576659,30.031024944261,,,616,12.871287128713,,6,12.078431372549,4,OPTIMAL,0.42,0,1,
CAP-bom_ml4_30-100,bom_ml4_30,bom_supemis_ml4_30.csv,EMISCAP,PLM,1,10,0,13603260,100%,378730,378440,378440,,,0,0,0,13603260,13603260,0,,,290,0.34364261168385,,3,9.3548387096774,2,OPTIMAL,0.42,0,1,
CAP-bom_ml4_30-95,bom_ml4_30,bom_supemis_ml4_30.csv,EMISCAP,PLM,1,10,0,12923097,95%,382910,382640,382640,,,0,0,0,12835660,13603260,5.6427650430853,,,274,5.8419243986254,,3,8.8387096774194,1,OPTIMAL,0.36,0,1,
CAP-bom_ml4_30-90,bom_ml4_30,bom_supemis_ml4_30.csv,EMISCAP,PLM,1,10,0,12242934,90%,409120,408850,408848,,,2,0,0,12176900,13603260,10.485427757758,,,267,8.2474226804124,,5,8.6129032258065,1,OPTIMAL,1.47,0,1,
CAP-bom_ml4_30-85,bom_ml4_30,bom_supemis_ml4_30.csv,EMISCAP,PLM,1,10,0,11562771,85%,424660,424400,424400,,,0,0,0,11445260,13603260,15.863844402004,,,255,12.371134020619,,6,8.2258064516129,1,OPTIMAL,2.64,0,1,
CAP-bom_ml4_30-80,bom_ml4_30,bom_supemis_ml4_30.csv,EMISCAP,PLM,1,10,0,10882608,80%,451040,450800,450800,,,0,0,0,10619040,13603260,21.937535561329,,,239,17.86941580756,,8,7.7096774193548,1,OPTIMAL,3.67,0,1,
CAP-bom_ml4_30-75,bom_ml4_30,bom_supemis_ml4_30.csv,EMISCAP,PLM,1,10,0,10202445,75%,455830,455600,455600,,,0,0,0,10152660,13603260,25.365978449283,,,234,19.587628865979,,8,7.5483870967742,1,OPTIMAL,2.61,0,1,
CAP-bom_ml4_30-70,bom_ml4_30,bom_supemis_ml4_30.csv,EMISCAP,PLM,1,10,0,9522282,70%,469580,469360,469360,,,0,0,0,9349860,13603260,31.267504995126,,,222,23.711340206186,,12,7.1612903225806,1,OPTIMAL,2.83,0,1,
CAP-bom_par4-100,bom_par4,bom_supemis_par4.csv,EMISCAP,PLM,1,10,0,5939600,100%,169980,169920,169920,,,0,0,0,5939600,5939600,0,,,57,1.7241379310345,,6,5.1818181818182,4,OPTIMAL,0.11,0,1,
CAP-bom_par4-95,bom_par4,bom_supemis_par4.csv,EMISCAP,PLM,1,10,0,5642620,95%,170210,170150,170151,,,-1,0,0,5605600,5939600,5.6232742945653,,,55,5.1724137931034,,6,5,3,OPTIMAL,0.22,0,1,
CAP-bom_par4-90,bom_par4,bom_supemis_par4.csv,EMISCAP,PLM,1,10,0,5345640,90%,175230,175180,175184,,,-4,0,0,4693730,5939600,20.975654926258,,,49,15.51724137931,,8,4.4545454545455,4,OPTIMAL,0.28,0,1,
CAP-bom_par4-85,bom_par4,bom_supemis_par4.csv,EMISCAP,PLM,1,10,0,5048660,85%,175240,175190,175186.7,,,3.2999999999884,0,0,4693755,5939600,20.975234022493,,,49,15.51724137931,,8,4.4545454545455,4,OPTIMAL,0.17,0,1,
CAP-bom_par4-80,bom_par4,bom_supemis_par4.csv,EMISCAP,PLM,1,10,0,4751680,80%,175230,175180,175184,,,-4,0,0,4693730,5939600,20.975654926258,,,49,15.51724137931,,8,4.4545454545455,4,OPTIMAL,0.16,0,1,
CAP-bom_par4-75,bom_par4,bom_supemis_par4.csv,EMISCAP,PLM,1,10,0,4454700,75%,184170,184120,184121,,,-1,0,0,4066280,5939600,31.539497609267,,,48,17.241379310345,,9,4.3636363636364,3,OPTIMAL,0.22,0,1,
CAP-bom_par4-70,bom_par4,bom_supemis_par4.csv,EMISCAP,PLM,1,10,0,4157719,70%,184170,184120,184121,,,-1,0,0,4066280,5939600,31.539497609267,,,48,17.241379310345,,9,4.3636363636364,3,OPTIMAL,0.3,0,1,
