run_id,instance_id,bom_file,strategy,model_type,service_time_promised,suppliers_available,tax_rate,cap_value,cap_level,objective_value,total_cost_with_tax,total_cost_without_tax,procurement_cost,inventory_holding_cost,carbon_cost,achieved_service_time,service_constraint_binding,total_emissions,baseline_emissions,emission_reduction_pct,WIP,WIP_reduction_pct,DIO,DIO_improvement_pct,ITR,buffer_count,avg_decoupled_lead_time,suppliers_used,solver_status,runtime_sec,mip_gap,comparison_admissible,comparison_exclusion_reason
TOPO-multi_level-bom_ml4_30,bom_ml4_30,bom_supemis_ml4_30.csv,UNKNOWN,PLM,1,10,0,1881437120,none,378440,378440,378440,,,0,1,1,13603260,,,788600,,291,,0.47988840984022,3,9.3870967741935,2,OPTIMAL,1,0,1,
TOPO-multi_level-bom_ml4_55,bom_ml4_55,bom_supemis_ml4_55.csv,UNKNOWN,PLM,1,10,0,5932986189,none,625890,625890,625892,,,-2,1,1,20449523.6,,,1237320,,453,,0.50584489056994,10,8.0892857142857,3,OPTIMAL,1,0,1,
TOPO-multi_level-bom_ml5_45,bom_ml5_45,bom_supemis_ml5_45.csv,UNKNOWN,PLM,1,10,0,4053195776,none,426070,426070,426068,,,2,1,1,21728460,,,942400,,460,,0.45210950764007,3,10,3,OPTIMAL,1,0,1,
TOPO-multi_level-bom_ml5_65,bom_ml5_65,bom_supemis_ml5_65.csv,UNKNOWN,PLM,1,10,0,8287400564,none,501450,501450,501452.8,,,-2.7999999999884,1,1,29937037.2,,,1190832,,685,,0.42109449527725,18,10.378787878788,3,OPTIMAL,1,0,1,
TOPO-multi_level-bom_ml6_70,bom_ml6_70,bom_supemis_ml6_70.csv,UNKNOWN,PLM,1,10,0,9590776180,none,583450,583450,583452,,,-2,1,1,32902875,,,1291840,,715,,0.45164416646024,10,10.070422535211,3,OPTIMAL,1,0,1,
TOPO-parallel-bom_par2,bom_par2,bom_supemis_par2.csv,UNKNOWN,PLM,1,10,0,505953600,none,98537,98537,98537,,,0,1,1,10080095,,,205800,,75,,0.47879980563654,4,7.5,5,OPTIMAL,1,0,1,
TOPO-parallel-bom_par3,bom_par3,bom_supemis_par3.csv,UNKNOWN,PLM,1,10,0,505226240,none,78984,78984,78984,,,0,1,1,8147540,,,160600,,54,,0.49180572851806,4,4.5,4,OPTIMAL,1,0,1,
TOPO-parallel-bom_par4,bom_par4,bom_supemis_par4.csv,UNKNOWN,PLM,1,10,0,433750400,none,169920,169920,169920,,,0,1,1,5939600,,,324600,,58,,0.52347504621072,6,5.2727272727273,4,OPTIMAL,1,0,1,
TOPO-parallel-bom_par5,bom_par5,bom_supemis_par5.csv,UNKNOWN,PLM,1,10,0,1383731200,none,220690,220690,220691,,,-1,1,1,18512205,,,417960,,116,,0.52801942769643,7,6.1052631578947,6,OPTIMAL,1,0,1,
TOPO-parallel-bom_par6,bom_par6,bom_supemis_par6.csv,UNKNOWN,PLM,1,10,0,1953156800,none,275520,275520,275520,,,0,1,1,18894145,,,524760,,152,,0.52504001829408,11,6.08,5,OPTIMAL,1,0,1,
