run_id,instance_id,bom_file,strategy,model_type,service_time_promised,suppliers_available,tax_rate,cap_value,cap_level,objective_value,total_cost_with_tax,total_cost_without_tax,procurement_cost,inventory_holding_cost,carbon_cost,achieved_service_time,service_constraint_binding,total_emissions,baseline_emissions,emission_reduction_pct,WIP,WIP_reduction_pct,DIO,DIO_improvement_pct,ITR,buffer_count,avg_decoupled_lead_time,suppliers_used,solver_status,runtime_sec,mip_gap,comparison_admissible,comparison_exclusion_reason
SVT-bom_5-EMISTAXE-SvT0,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,0,10,50,2500000,none,48817,48786.61,48640,,,146.61,0,1,2932200,2932200,0,,,30,3.2258064516129,,3,5,4,OPTIMAL,0.02,0,1,
SVT-bom_5-EMISTAXE-SvT1,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,1,10,50,2500000,none,48817,48786.61,48640,,,146.61,0,0,2932200,2932200,0,,,30,3.2258064516129,,3,5,4,OPTIMAL,0.03,0,1,
SVT-bom_5-EMISTAXE-SvT3,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,3,10,50,2500000,none,37619,37587.22,37440,,,147.22,2,0,2944400,2932200,-0.41606984516745,,,32,-3.2258064516129,,2,5.3333333333333,4,OPTIMAL,0.03,0,1,
SVT-bom_5-EMISCAP-SvT0,bom_5,bom_supemis_5.csv,EMISCAP,PLM,0,10,0,2492370,85%,51582,51555,51555,,,0,0,1,2253700,2932200,23.139622126731,,,27,12.903225806452,,4,4.5,3,OPTIMAL,0.03,0,1,
SVT-bom_5-EMISCAP-SvT1,bom_5,bom_supemis_5.csv,EMISCAP,PLM,1,10,0,2492370,85%,51582,51555,51555,,,0,0,0,2253700,2932200,23.139622126731,,,27,12.903225806452,,4,4.5,3,OPTIMAL,0.03,0,1,
SVT-bom_5-EMISCAP-SvT3,bom_5,bom_supemis_5.csv,EMISCAP,PLM,3,10,0,2492370,85%,40384,40355,40355,,,0,2,0,2265900,2932200,22.723552281563,,,29,6.4516129032258,,3,4.8333333333333,3,OPTIMAL,0.03,0,1,
SVT-bom_13-EMISTAXE-SvT0,bom_13,bom_supemis_13.csv,EMISTAXE,PLM,0,10,50,2500000,none,118060,117922.7973,116448,,,1474.7973,0,1,29495946,29495946,0,,,134,0.74074074074074,,7,9.5714285714286,8,OPTIMAL,0.03,0,1,
SVT-bom_13-EMISTAXE-SvT1,bom_13,bom_supemis_13.csv,EMISTAXE,PLM,1,10,50,2500000,none,118060,117922.7973,116448,,,1474.7973,0,0,29495946,29495946,0,,,134,0.74074074074074,,7,9.5714285714286,8,OPTIMAL,0.06,0,1,
SVT-bom_13-EMISTAXE-SvT3,bom_13,bom_supemis_13.csv,EMISTAXE,PLM,3,10,50,2500000,none,102060,101923.4073,100448,,,1475.4073,2,0,29508146,29495946,-0.041361616270928,,,136,-0.74074074074074,,6,9.7142857142857,8,OPTIMAL,0.05,0,1,
SVT-bom_13-EMISCAP-SvT0,bom_13,bom_supemis_13.csv,EMISCAP,PLM,0,10,0,25071554,85%,127220,127100,127100.5,,,-0.5,0,1,24993922,29495946,15.263195830369,,,120,11.111111111111,,9,8.5714285714286,8,OPTIMAL,0.3,0,1,
SVT-bom_13-EMISCAP-SvT1,bom_13,bom_supemis_13.csv,EMISCAP,PLM,1,10,0,25071554,85%,127220,127100,127100.5,,,-0.5,0,0,24993922,29495946,15.263195830369,,,120,11.111111111111,,9,8.5714285714286,8,OPTIMAL,0.52,0,1,
SVT-bom_13-EMISCAP-SvT3,bom_13,bom_supemis_13.csv,EMISCAP,PLM,3,10,0,25071554,85%,111220,111100,111100.5,,,-0.5,2,0,25006122,29495946,15.221834214098,,,122,9.6296296296296,,8,8.7142857142857,8,OPTIMAL,0.22,0,1,
SVT-bom_26-EMISTAXE-SvT0,bom_26,bom_supemis_26.csv,EMISTAXE,PLM,0,10,50,2500000,none,869630,869198.72,867120,,,2078.72,0,1,41574400,41574400,0,,,430,0.23201856148492,,1,15.925925925926,3,OPTIMAL,0.06,0,1,
SVT-bom_26-EMISTAXE-SvT1,bom_26,bom_supemis_26.csv,EMISTAXE,PLM,1,10,50,2500000,none,869630,869198.72,867120,,,2078.72,0,0,41574400,41574400,0,,,430,0.23201856148492,,1,15.925925925926,3,OPTIMAL,0.06,0,1,
SVT-bom_26-EMISTAXE-SvT3,bom_26,bom_supemis_26.csv,EMISTAXE,PLM,3,10,50,2500000,none,869630,869198.72,867120,,,2078.72,0,0,41574400,41574400,0,,,430,0.23201856148492,,2,15.925925925926,3,OPTIMAL,0.08,0,1,
SVT-bom_26-EMISCAP-SvT0,bom_26,bom_supemis_26.csv,EMISCAP,PLM,0,10,0,35338240,85%,909550,909180,909180,,,0,0,1,35289400,41574400,15.117476139163,,,368,14.61716937355,,1,13.62962962963,3,OPTIMAL,0.39,0,1,
SVT-bom_26-EMISCAP-SvT1,bom_26,bom_supemis_26.csv,EMISCAP,PLM,1,10,0,35338240,85%,909550,909180,909180,,,0,0,0,35289400,41574400,15.117476139163,,,368,14.61716937355,,1,13.62962962963,3,OPTIMAL,0.31,0,1,
SVT-bom_26-EMISCAP-SvT3,bom_26,bom_supemis_26.csv,EMISCAP,PLM,3,10,0,35338240,85%,909550,909180,909180,,,0,0,0,35289400,41574400,15.117476139163,,,368,14.61716937355,,2,13.62962962963,3,OPTIMAL,0.34,0,1,
SVT-bom_50-EMISTAXE-SvT0,bom_50,bom_supemis_50.csv,EMISTAXE,PLM,0,10,50,2500000,none,1391900,1391188.83295,1381460,,,9728.83295,0,1,194576659,194576659,0,,,706,0.14144271570014,,5,13.843137254902,5,OPTIMAL,0.11,0,1,
SVT-bom_50-EMISTAXE-SvT1,bom_50,bom_supemis_50.csv,EMISTAXE,PLM,1,10,50,2500000,none,1391900,1391188.83295,1381460,,,9728.83295,0,0,194576659,194576659,0,,,706,0.14144271570014,,5,13.843137254902,5,OPTIMAL,0.13,0,1,
SVT-bom_50-EMISTAXE-SvT3,bom_50,bom_supemis_50.csv,EMISTAXE,PLM,3,10,50,2500000,none,1311900,1311188.33295,1301460,,,9728.33295,2,0,194566659,194576659,0.0051393625789412,,,708,-0.14144271570014,,4,13.882352941176,5,OPTIMAL,0.16,0,1,
SVT-bom_50-EMISCAP-SvT0,bom_50,bom_supemis_50.csv,EMISCAP,PLM,0,10,0,165390160,85%,1498400,1497800,1497760,,,40,0,1,165252592.6,194576659,15.070700951855,,,606,14.285714285714,,5,11.882352941176,3,OPTIMAL,0.53,0,1,
SVT-bom_50-EMISCAP-SvT1,bom_50,bom_supemis_50.csv,EMISCAP,PLM,1,10,0,165390160,85%,1498400,1497800,1497760,,,40,0,0,165252592.6,194576659,15.070700951855,,,606,14.285714285714,,5,11.882352941176,3,OPTIMAL,0.59,0,1,
SVT-bom_50-EMISCAP-SvT3,bom_50,bom_supemis_50.csv,EMISCAP,PLM,3,10,0,165390160,85%,1418000,1417400,1417360,,,40,2,0,165386592.6,194576659,15.001833493297,,,608,14.002828854314,,4,11.921568627451,3,OPTIMAL,0.66,0,1,
