ind;t_process;parent;unit_price;rqtf;aih_cost;var_factor;lt_factor;cycle;minOrder;facility_emis;inventory_emis;trsp_emis;
0;0;-1;0;1;0,25;0,5;0,8;1;0;0;0;0;
1;2;0;1100;1;0,25;0,5;0,8;1;0;7500;750;1500;
2;5;1;130;1;0,25;0,5;0,8;1;0;3800;480;1500;
3;7;1;270;1;0,25;0,5;0,8;1;0;5800;580;1500;
4;6;1;110;3;0,25;0,5;0,8;1;0;3000;300;1500;
5;4;2;70;2;0,25;0,5;0,8;1;0;2500;250;1500;
6;4;3;85;5;0,25;0,5;0,8;1;0;2750;275;1500;
7;3;3;115;1;0,25;0,5;0,8;1;0;3100;310;1500;
8;3;4;45;3;0,25;0,5;0,8;1;0;1700;170;1500;
9;3;5;26;2;0,25;0,5;0,8;1;0;1350;135;1500;
10;4;5;18;2;0,25;0,5;0,8;1;0;1200;120;1500;
11;3;6;23;10;0,25;0,5;0,8;1;0;1300;130;1500;
12;7;6;29;20;0,25;0,5;0,8;1;0;1100;110;1500;
13;11;10;10;12;0,25;0,5;0,5;1;0;1200;120;1500;
14;4;7;32;8;0,25;0,5;0,5;1;0;1400;140;1500;
15;6;8;22;4;0,25;0,5;0,5;1;0;1050;105;1500;
