ind;t_process;parent;unit_price;rqtf;aih_cost;var_factor;lt_factor;cycle;minOrder;facility_emis;inventory_emis;trsp_emis
0;0;-1;0;1;0,25;0,5;0,8;1;0;0;0;0
1;2;0;5000;1;0,25;0,5;0,8;1;0;10000;1000;1500
2;5;1;900;1;0,25;0,5;0,8;1;0;9486;948,6;1500
3;7;1;890;1;0,25;0,5;0,8;1;0;8704;870,4;1500
4;6;1;910;1;0,25;0,5;0,8;1;0;8059;805,9;1500
5;4;1;860;2;0,25;0,5;0,8;1;0;7962;796,2;1500
6;4;2;880;3;0,25;0,5;0,8;1;0;7861;786,1;1500
7;3;2;800;2;0,25;0,5;0,8;1;0;7628;762,8;1500
8;3;2;780;1;0,25;0,5;0,8;1;0;7050;705;1500
9;3;3;790;2;0,25;0,5;0,8;1;0;6976;697,6;1500
10;4;3;750;3;0,25;0,5;0,8;1;0;6291;629,1;1500
11;3;4;690;2;0,25;0,5;0,8;1;0;6234;623,4;1500
12;5;4;660;3;0,25;0,5;0,8;1;0;6199;619,9;1500
13;5;5;600;8;0,25;0,5;0,5;1;0;6088;608,8;1500
14;4;5;640;6;0,25;0,5;0,5;1;0;5680;568;1500
15;2;5;700;2;0,25;0,5;0,5;1;0;5673;567,3;1500
16;4;6;660;9;0,25;0,5;0,5;1;0;5507;550,7;1500
17;6;6;580;6;0,25;0,5;0,5;1;0;5360;536;1500
18;3;67;550;2;0,25;0,5;0,5;1;0;5290;529;1500
19;3;8;570;1;0,25;0,5;0,5;1;0;5168;516,8;1500
20;5;8;600;2;0,25;0,5;0,5;1;0;4944;494,4;1500
21;7;9;540;6;0,25;0,5;0,5;1;0;4747;474,7;1500
22;6;9;510;4;0,25;0,5;0,5;1;0;4417;441,7;1500
23;3;9;590;4;0,25;0,5;0,5;1;0;4033;403,3;1500
24;4;10;400;3;0,25;0,5;0,5;1;0;3891;389,1;1500
25;3;11;490;2;0,25;0,5;0,5;1;0;3601;360,1;1500
26;3;12;480;3;0,25;0,5;0,5;1;0;3279;327,9;1500
27;5;12;520;6;0,25;0,5;0,5;1;0;3175;317,5;1500
28;4;13;400;16;0,25;0,5;0,5;1;0;2984;298,4;1500
29;3;14;480;6;0,25;0,5;0,5;1;0;2866;286,6;1500
30;2;14;490;18;0,25;0,5;0,5;1;0;2606;260,6;1500
31;5;16;460;9;0,25;0,5;0,5;1;0;2427;242,7;1500
32;4;16;500;9;0,25;0,5;0,5;1;0;2231;223,1;1500
33;3;18;470;6;0,25;0,5;0,5;1;0;2091;209,1;1500
34;3;18;300;4;0,25;0,5;0,5;1;0;1993;199,3;1500
35;5;20;380;4;0,25;0,5;0,5;1;0;1837;183,7;1500
36;4;23;330;8;0,25;0,5;0,5;1;0;1683;168,3;1500
37;3;23;340;12;0,25;0,5;0,5;1;0;1682;168,2;1500
38;4;27;350;6;0,25;0,5;0,5;1;0;1589;158,9;1500
39;6;30;360;18;0,25;0,5;0,5;1;0;1439;143,9;1500
40;4;30;310;54;0,25;0,5;0,5;1;0;1404;140,4;1500
41;4;32;330;18;0,25;0,5;0,5;1;0;1265;126,5;1500
42;4;33;290;12;0,25;0,5;0,5;1;0;1153;115,3;1500
43;3;33;270;12;0,25;0,5;0,5;1;0;1138;113,8;1500
44;3;35;260;8;0,25;0,5;0,5;1;0;1094;109,4;1500
45;2;37;270;12;0,25;0,5;0,5;1;0;997;99,7;1500
46;5;37;270;12;0,25;0,5;0,5;1;0;964;96,4;1500
47;3;39;100;54;0,25;0,5;0,5;1;0;917;91,7;1500
48;2;39;110;36;0,25;0,5;0,5;1;0;833;83,3;1500
49;3;45;50;48;0,25;0,5;0,5;1;0;753;75,3;1500
50;5;47;30;108;0,25;0,5;0,5;1;0;723;72,3;1500
