ind;t_process;parent;unit_price;rqtf;aih_cost;var_factor;lt_factor;cycle;minOrder;facility_emis;inventory_emis;trsp_emis;
0;0;-1;0;0;0.25;0.5;0.8;1;0;0;0;0;
1;2;0;800;1;0.25;0.5;0.8;1;0;8000;800;1500;
2;2;1;200;1;0.25;0.5;0.8;1;0;6200;620;1500;
3;2;1;190;1;0.25;0.5;0.8;1;0;6100;610;1500;
4;2;1;180;1;0.25;0.5;0.8;1;0;6000;600;1500;
5;2;1;170;1;0.25;0.5;0.8;1;0;5900;590;1500;
6;2;1;160;1;0.25;0.5;0.8;1;0;5800;580;1500;
7;2;0;720;1;0.25;0.5;0.8;1;0;7200;720;1500;
8;4;7;170;1;0.25;0.5;0.8;1;0;5200;520;1500;
9;3;7;110;2;0.25;0.5;0.8;1;0;3700;370;1500;
10;5;8;30;6;0.25;0.5;0.8;1;0;3000;300;1500;
11;6;9;35;2;0.25;0.5;0.8;1;0;2800;280;1500;
12;4;8;24;4;0.25;0.5;0.8;1;0;2900;290;1500;
13;5;9;28;3;0.25;0.5;0.8;1;0;2700;270;1500;
14;6;10;18;12;0.25;0.5;0.8;1;0;2600;260;1500;
15;4;12;15;8;0.25;0.5;0.8;1;0;2500;250;1500;
16;2;0;680;1;0.25;0.5;0.8;1;0;6800;680;1500;
17;2;0;640;1;0.25;0.5;0.8;1;0;6400;640;1500;
18;2;0;600;1;0.25;0.5;0.8;1;0;6000;600;1500;
