nb_nodes;nb_suppliers; #  ligne obligatoire : les noeud 0..nb_nodes et les suppliers 0..nbsuppliers-1 
100;10;
id_nodes;list_suppliers;  #  Attention 2 separateurs
15;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
17;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
19;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
21;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
23;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
31;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
35;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
38;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
40;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
49;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
51;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
54;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
57;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
59;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
61;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
63;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
65;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
67;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
68;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
72;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
73;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
77;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
80;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
81;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
83;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
85;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
86;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
88;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
89;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
90;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
92;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
93;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
94;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
96;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
97;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
98;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
99;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
100;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
22;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
24;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
25;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
26;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
28;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
29;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
34;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
36;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
41;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
42;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
43;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
44;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
46;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;
