id_supp;delay;price;capacity;emissions;quality_score;reliability;lead_time_variance;
1;2;1;100;80;0.85;0.92;0.8;
2;2;0.9;60;75;0.82;0.90;0.9;
3;1;1.1;80;90;0.88;0.95;0.5;
4;1;1;80;100;0.86;0.93;0.6;
5;5;0.6;50;40;0.72;0.78;1.5;
6;6;0.5;60;45;0.70;0.75;2.0;
7;7;0.5;80;40;0.68;0.72;2.5;
8;5;0.3;25;30;0.65;0.70;1.8;
9;9;0.2;250;15;0.60;0.65;3.5;
10;1;0.8;30;40;0.80;0.88;0.7;
11;10;0.2;300;15;0.58;0.62;4.0;
12;2;0.6;60;50;0.75;0.82;1.2;
13;1;0.8;50;80;0.78;0.85;0.6;
14;3;0.35;35;60;0.68;0.75;1.3;
15;5;0.3;50;30;0.63;0.68;1.6;
16;6;0.4;20;5;0.66;0.72;2.2;
17;7;0.15;100;30;0.55;0.60;3.0;
18;4;0.3;80;40;0.70;0.77;1.4;
19;9;0.2;150;30;0.62;0.67;3.2;
20;10;0.1;300;80;0.50;0.55;4.5;
