Cost;DIO;WIP;Emissions;Epsilon;Prefix
3104390;147;9011400;7042058;7042058;MOBJ-bom_26_CEMIS_0
2216150;179;5055560;12346638;12359660.444444;MOBJ-bom_26_CEMIS_1
1511520;216;2851000;17637400;17677262.888889;MOBJ-bom_26_CEMIS_2
1237300;259;2445760;22990280;22994865.333333;MOBJ-bom_26_CEMIS_3
1025140;309;1852400;28289650;28312467.777778;MOBJ-bom_26_CEMIS_4
925260;361;1650000;33613600;33630070.222222;MOBJ-bom_26_CEMIS_5
876960;395;1750000;38577100;38947672.666667;MOBJ-bom_26_CEMIS_6
867120;458;1750000;44244400;44265275.111111;MOBJ-bom_26_CEMIS_7
867120;485;1750000;46902400;49582877.555556;MOBJ-bom_26_CEMIS_8
867120;485;1750000;46902400;54900480;MOBJ-bom_26_CEMIS_9
